year,month,date,day,time,lineup,canceled,postponed,soldOut
2019,November,16,Sat,9:30pm,Charlie Parr | Eric Kennedy,False,False,False

2019,November,18,Mon,6:00pm,Spoken | Street Thieves | Equal Parts,False,False,False

2019,November,20,Wed,6:00pm,The Orphan The Poet | Yung Hunny | Katie Flowers,False,False,False

2019,November,21,Thu,7:30pm,Ray Scott | Nick Ryan,False,False,False

2019,November,22,Fri,5:30pm,Goon | Disq | Fall From Space | Major Zero,False,False,False

2019,November,23,Sat,2:00pm,GDP Music Festival 2019 | Closet Witch | Druids | Sires | Extravision | Greg Wheeler and the Polygamist Mall Cops | Lvvmaking | Juliano Dock | Chill Mac,False,False,False

2019,November,24,Sun,5:30pm,Abigail Phelps | semideadly | Jolie Seitz | Delaney Darnell,False,False,False

2019,November,27,Wed,7:30pm,Person Whale | Odd Pets | Lucy Arnell,False,False,False

2019,November,29,Fri,6:00pm,TCs Birthday Bash,False,False,False

2019,November,29,Fri,9:30pm,Total Request Mews,False,False,False

2019,October,1,Tue,6:00pm,Ritt Momney | Shane T | Urban Crowns,False,False,False

2019,October,1,Tue,9:30pm,JohnAllison A.W. Weiss,False,False,False

2019,October,2,Wed,5:00pm,The Story Changes | Ruvim Nochway,False,False,False

2019,October,2,Wed,9:30pm,Ariana Hodes | DucharmeJones | Danny Grause | Bruce Day,False,False,False

2019,October,3,Thu,8:30pm,Litz,False,False,False

2019,October,4,Fri,5:30pm,White Reaper | The Dirty Nil | The Paranoyds,False,False,False

2019,October,5,Sat,5:00pm,Volcano Boys record release party | Twins | Lvvmaking,False,False,False

2019,October,5,Sat,10:00pm,Whoppa album release party,False,False,False

2019,October,6,Sun,5:30pm,Mystery Skulls | Phangs | Snowblood,False,False,False

2019,October,6,Sun,9:30pm,Oregon Space Trail Of Doom | Superquiet,False,False,False

2019,October,7,Mon,6:00pm,Bike Thiefs | The Eleanors | The Somewhat,False,False,False

2019,October,9,Wed,6:00pm,Jared  The Mill | Patricia Holly,False,False,False

2019,October,11,Fri,5:30pm,Ramona  the Sometimes | Annalibera | Lizard McGuire  the Marshmallows,False,False,False

2019,October,11,Fri,9:30pm,Ankhlejohn | Teller Bank | Johnny Marz | Pyko da Syko | Nova Caine,False,False,False

2019,October,12,Sat,2:30pm,Pizza Party 3,False,False,False

2019,October,12,Sat,9:30pm,Pizza Party 3,False,False,False

2019,October,13,Sun,6:00pm,Timothy Faust Health Justice Now,False,False,False

2019,October,14,Mon,7:30pm,The Well | Superchief | Into The Cove,False,False,False

2019,October,15,Tue,6:00pm,Kid Quill | Moonlander,False,False,False

2019,October,17,Thu,6:00pm,Will Solomon,False,False,False

2019,October,18,Fri,6:00pm,The Happy Fits | Loversvalley,False,False,False

2019,October,18,Fri,9:30pm,Frequency,False,False,False

2019,October,19,Sat,5:30pm,Michael Barr | cmfrt.,False,False,False

2019,October,19,Sat,9:30pm,Crystal City | Adam Bruce | Danny Wolf,False,False,False

2019,October,20,Sun,7:30pm,Droids Attack | Bhagwan | Goatfight | Lungs,False,False,False

2019,October,21,Mon,6:00pm,Facs | Cold Winds | Midnight Flora,False,False,False

